Business Date,Revenue Center,Meal Period,Net Sales,Gross Sales,Discounts,Voids,Comps,Tax,Tips,Check Count,Guest Count,Avg Check
2026-01-23,Bar,Lunch,856.95,907.29,21.51,13.89,14.94,59.99,168.68,16,32,53.56
2026-01-23,Bar,Dinner,2463.54,2609.43,69.64,15.32,60.93,172.45,447.98,55,93,44.79
2026-01-23,Bar,Late Night,1700.37,1805.41,45.48,22.76,36.80,119.03,358.86,45,83,37.79
2026-01-23,Dining Room,Lunch,655.03,706.67,19.96,6.07,25.61,45.85,132.38,12,24,54.59
2026-01-23,Dining Room,Dinner,1457.05,1534.60,38.63,20.11,18.81,101.99,289.50,35,47,41.63
2026-01-23,Dining Room,Late Night,1185.28,1262.48,37.40,19.20,20.60,82.97,263.76,31,51,38.23
2026-01-24,Bar,Lunch,1560.56,1641.45,28.32,15.02,37.55,109.24,337.95,32,47,48.77
2026-01-24,Bar,Dinner,4404.12,4719.61,134.06,62.68,118.75,308.29,969.15,86,128,51.21
2026-01-24,Bar,Late Night,2880.91,3071.99,66.20,33.64,91.24,201.66,553.45,61,84,47.23
2026-01-24,Dining Room,Lunch,1113.71,1174.76,19.84,12.63,28.58,77.96,222.11,26,51,42.84
2026-01-24,Dining Room,Dinner,2317.66,2419.38,35.89,24.32,41.51,162.24,515.21,51,67,45.44
2026-01-24,Dining Room,Late Night,2054.93,2168.66,37.06,14.95,61.72,143.85,409.66,57,85,36.05
2026-01-25,Bar,Lunch,2110.37,2211.59,31.40,24.31,45.51,147.73,460.01,57,109,37.02
2026-01-25,Bar,Dinner,5074.26,5380.08,138.74,90.99,76.09,355.20,986.67,102,153,49.75
2026-01-25,Bar,Late Night,3530.62,3765.72,80.64,42.41,112.05,247.14,738.84,75,112,47.07
2026-01-25,Dining Room,Lunch,1264.66,1332.92,27.12,13.73,27.41,88.53,249.03,26,48,48.64
2026-01-25,Dining Room,Dinner,3339.28,3531.20,74.20,31.34,86.38,233.75,625.14,76,139,43.94
2026-01-25,Dining Room,Late Night,2388.49,2563.14,74.33,35.52,64.80,167.19,430.54,44,74,54.28
2026-01-26,Bar,Lunch,727.46,778.20,18.90,9.61,22.23,50.92,136.36,19,29,38.29
2026-01-26,Bar,Dinner,2256.51,2414.60,69.30,38.85,49.94,157.96,444.40,51,87,44.25
2026-01-26,Dining Room,Lunch,500.79,525.20,10.93,5.67,7.81,35.06,94.89,13,24,38.52
2026-01-26,Dining Room,Dinner,1148.34,1233.29,41.43,23.54,19.98,80.38,227.40,28,42,41.01
2026-01-27,Bar,Lunch,509.16,545.33,16.69,9.76,9.72,35.64,101.04,14,20,36.37
2026-01-27,Bar,Dinner,1185.57,1265.25,36.52,17.91,25.25,82.99,259.17,29,50,40.88
2026-01-27,Dining Room,Lunch,328.46,341.95,5.11,2.32,6.06,22.99,73.58,7,10,46.92
2026-01-27,Dining Room,Dinner,709.88,765.72,24.92,10.03,20.89,49.69,144.64,19,26,37.36
2026-01-28,Bar,Lunch,500.63,537.47,16.60,5.99,14.25,35.04,90.35,14,20,35.76
2026-01-28,Bar,Dinner,1278.72,1361.01,39.65,15.04,27.60,89.51,258.88,25,34,51.15
2026-01-28,Dining Room,Lunch,375.55,394.07,8.73,3.95,5.84,26.29,71.34,11,18,34.14
2026-01-28,Dining Room,Dinner,830.74,880.41,16.34,13.72,19.61,58.15,187.23,17,32,48.87
2026-01-29,Bar,Lunch,704.13,740.44,12.49,4.13,19.69,49.29,161.63,18,35,39.12
2026-01-29,Bar,Dinner,1948.76,2070.69,56.63,15.80,49.50,136.41,420.19,48,94,40.60
2026-01-29,Bar,Late Night,1108.86,1196.58,27.58,25.46,34.68,77.62,249.27,22,41,50.40
2026-01-29,Dining Room,Lunch,479.59,503.67,9.11,3.24,11.73,33.57,89.69,11,21,43.60
2026-01-29,Dining Room,Dinner,1132.85,1183.63,17.19,14.02,19.57,79.30,217.77,27,49,41.96
2026-01-29,Dining Room,Late Night,694.51,728.66,13.70,4.14,16.31,48.62,135.53,13,21,53.42
2026-01-30,Bar,Lunch,915.98,975.70,27.28,12.27,20.17,64.12,196.20,22,38,41.64
2026-01-30,Bar,Dinner,2432.59,2617.24,77.61,34.78,72.26,170.28,537.00,56,111,43.44
2026-01-30,Bar,Late Night,1620.00,1730.80,33.26,28.89,48.65,113.40,311.66,31,48,52.26
2026-01-30,Dining Room,Lunch,525.11,554.29,13.15,8.34,7.69,36.76,102.89,10,15,52.51
2026-01-30,Dining Room,Dinner,1521.86,1631.76,42.24,27.36,40.30,106.53,319.38,42,74,36.23
2026-01-30,Dining Room,Late Night,1150.91,1230.51,27.34,17.90,34.36,80.56,218.55,24,39,47.95
2026-01-31,Bar,Lunch,1812.83,1936.70,60.80,17.38,45.69,126.90,335.93,37,67,49.00
2026-01-31,Bar,Dinner,4388.98,4625.32,93.57,61.61,81.16,307.23,953.19,81,118,54.18
2026-01-31,Bar,Late Night,3262.59,3503.54,78.89,42.95,119.11,228.38,642.82,80,128,40.78
2026-01-31,Dining Room,Lunch,985.23,1050.62,21.10,17.93,26.36,68.97,182.19,22,39,44.78
2026-01-31,Dining Room,Dinner,2975.37,3114.64,53.17,16.38,69.72,208.28,637.44,78,106,38.15
2026-01-31,Dining Room,Late Night,1761.29,1848.47,41.60,10.01,35.57,123.29,323.95,41,62,42.96
2026-02-01,Bar,Lunch,2168.25,2290.09,52.06,15.49,54.29,151.78,409.47,41,78,52.88
2026-02-01,Bar,Dinner,5519.96,5843.64,137.86,59.94,125.88,386.40,1196.14,142,230,38.87
2026-02-01,Bar,Late Night,3688.74,3924.03,83.94,42.62,108.73,258.21,790.34,103,171,35.81
2026-02-01,Dining Room,Lunch,1321.05,1410.22,36.28,25.04,27.85,92.47,286.65,30,44,44.04
2026-02-01,Dining Room,Dinner,3083.45,3306.78,68.08,34.02,121.23,215.84,646.24,62,97,49.73
2026-02-01,Dining Room,Late Night,2207.97,2364.69,78.19,43.44,35.09,154.56,495.84,51,94,43.29
2026-02-02,Bar,Lunch,755.85,807.82,17.36,5.65,28.96,52.91,161.37,17,34,44.46
2026-02-02,Bar,Dinner,1897.30,2021.25,58.17,26.31,39.47,132.81,421.42,38,64,49.93
2026-02-02,Dining Room,Lunch,420.38,453.18,12.91,7.28,12.61,29.43,90.85,10,14,42.04
2026-02-02,Dining Room,Dinner,1103.66,1187.50,39.57,19.44,24.83,77.26,206.41,31,46,35.60
2026-02-03,Bar,Lunch,536.67,559.38,9.93,5.45,7.33,37.57,109.91,12,22,44.72
2026-02-03,Bar,Dinner,1224.41,1303.79,24.68,20.46,34.24,85.71,278.00,26,52,47.09
2026-02-03,Dining Room,Lunch,318.91,335.88,8.35,2.84,5.78,22.32,72.67,9,13,35.43
2026-02-03,Dining Room,Dinner,755.99,809.94,26.00,12.81,15.14,52.92,147.78,14,24,54.00
2026-02-04,Bar,Lunch,471.98,492.87,6.38,2.17,12.34,33.04,107.97,12,22,39.33
2026-02-04,Bar,Dinner,1528.09,1592.11,20.21,9.61,34.20,106.97,344.79,32,48,47.75
2026-02-04,Dining Room,Lunch,320.21,343.42,9.81,5.94,7.46,22.41,73.60,9,15,35.58
2026-02-04,Dining Room,Dinner,780.44,822.25,12.68,4.95,24.18,54.63,142.31,16,21,48.78
2026-02-05,Bar,Lunch,762.01,792.69,13.70,6.35,10.63,53.34,150.54,21,38,36.29
2026-02-05,Bar,Dinner,1660.53,1738.10,37.65,15.00,24.92,116.24,338.13,41,68,40.50
2026-02-05,Bar,Late Night,1072.37,1122.85,15.96,11.78,22.74,75.07,208.07,25,42,42.89
2026-02-05,Dining Room,Lunch,412.52,434.06,7.64,2.66,11.24,28.88,83.49,11,21,37.50
2026-02-05,Dining Room,Dinner,1029.95,1096.66,25.78,16.87,24.06,72.10,213.28,25,40,41.20
2026-02-05,Dining Room,Late Night,820.31,865.16,14.30,12.43,18.12,57.42,174.34,17,28,48.25
2026-02-06,Bar,Lunch,895.40,955.26,18.37,15.32,26.17,62.68,186.23,21,30,42.64
2026-02-06,Bar,Dinner,2356.98,2504.51,46.27,35.85,65.41,164.99,424.50,58,82,40.64
2026-02-06,Bar,Late Night,1745.78,1850.79,38.49,21.53,44.99,122.20,329.89,45,75,38.80
2026-02-06,Dining Room,Lunch,595.00,630.15,16.31,5.04,13.80,41.65,133.63,14,19,42.50
2026-02-06,Dining Room,Dinner,1446.91,1533.97,40.19,24.77,22.10,101.28,283.13,30,48,48.23
2026-02-06,Dining Room,Late Night,1146.49,1229.61,36.61,15.37,31.14,80.25,221.76,24,48,47.77
2026-02-07,Bar,Lunch,1592.42,1707.94,41.92,19.74,53.86,111.47,362.26,35,51,45.50
2026-02-07,Bar,Dinner,4772.15,5081.13,145.29,52.03,111.66,334.05,900.37,133,203,35.88
2026-02-07,Bar,Late Night,3374.20,3635.10,88.09,59.61,113.20,236.19,694.87,70,108,48.20
2026-02-07,Dining Room,Lunch,950.27,991.25,16.18,9.36,15.44,66.52,187.88,21,42,45.25
2026-02-07,Dining Room,Dinner,2456.64,2649.34,65.95,26.77,99.98,171.96,555.79,68,128,36.13
2026-02-07,Dining Room,Late Night,2128.43,2221.56,42.35,23.53,27.25,148.99,436.91,59,91,36.08
2026-02-08,Bar,Lunch,2077.81,2173.22,45.49,15.52,34.40,145.45,444.51,43,83,48.32
2026-02-08,Bar,Dinner,4897.65,5240.28,161.33,39.06,142.24,342.84,1096.65,131,191,37.39
2026-02-08,Bar,Late Night,2994.62,3121.70,57.46,38.04,31.58,209.62,602.01,55,87,54.45
2026-02-08,Dining Room,Lunch,1239.73,1297.50,19.88,6.78,31.11,86.78,245.45,35,48,35.42
2026-02-08,Dining Room,Dinner,3398.24,3578.03,87.41,53.42,38.96,237.88,630.69,88,152,38.62
2026-02-08,Dining Room,Late Night,1873.34,1994.79,45.51,32.65,43.29,131.13,350.64,53,86,35.35
2026-02-09,Bar,Lunch,681.42,717.38,13.94,5.36,16.66,47.70,130.94,18,30,37.86
2026-02-09,Bar,Dinner,2059.00,2156.25,38.21,10.84,48.20,144.13,391.78,58,86,35.50
2026-02-09,Dining Room,Lunch,429.35,460.38,11.29,8.78,10.96,30.05,91.66,10,15,42.94
2026-02-09,Dining Room,Dinner,1278.65,1350.44,23.70,19.25,28.84,89.51,239.93,35,59,36.53
2026-02-10,Bar,Lunch,552.39,574.98,8.40,2.44,11.75,38.67,103.04,15,22,36.83
2026-02-10,Bar,Dinner,1065.49,1145.76,27.57,8.89,43.81,74.58,207.48,27,48,39.46
2026-02-10,Dining Room,Lunch,258.79,276.33,6.90,2.08,8.56,18.12,49.45,7,10,36.97
2026-02-10,Dining Room,Dinner,784.65,817.46,11.40,8.70,12.71,54.93,162.68,16,32,49.04
2026-02-11,Bar,Lunch,547.41,577.74,12.49,3.78,14.06,38.32,110.95,12,21,45.62
2026-02-11,Bar,Dinner,1253.11,1321.57,30.66,14.11,23.69,87.72,268.23,34,47,36.86
2026-02-11,Dining Room,Lunch,330.28,353.79,11.40,5.86,6.25,23.12,63.76,8,14,41.29
2026-02-11,Dining Room,Dinner,705.23,740.00,15.69,6.95,12.13,49.37,142.75,17,30,41.48
2026-02-12,Bar,Lunch,604.04,631.11,11.82,2.86,12.39,42.28,121.69,15,25,40.27
2026-02-12,Bar,Dinner,1693.47,1825.08,39.53,24.06,68.02,118.54,360.79,42,78,40.32
2026-02-12,Bar,Late Night,1299.18,1360.32,26.22,17.96,16.96,90.94,279.94,33,61,39.37
2026-02-12,Dining Room,Lunch,376.84,392.77,7.06,3.76,5.11,26.38,67.97,8,13,47.11
2026-02-12,Dining Room,Dinner,1174.17,1248.57,29.85,16.06,28.49,82.19,243.91,25,50,46.97
2026-02-12,Dining Room,Late Night,828.49,877.28,15.88,9.04,23.87,57.99,189.85,22,36,37.66
2026-02-13,Bar,Lunch,958.15,998.60,18.94,5.79,15.72,67.07,198.34,26,39,36.85
2026-02-13,Bar,Dinner,2404.67,2524.18,41.58,32.13,45.80,168.33,446.29,59,84,40.76
2026-02-13,Bar,Late Night,1605.36,1683.01,30.21,16.99,30.45,112.38,291.26,31,40,51.79
2026-02-13,Dining Room,Lunch,581.05,613.77,10.41,4.07,18.24,40.67,114.91,12,23,48.42
2026-02-13,Dining Room,Dinner,1533.82,1643.02,37.35,22.24,49.61,107.37,296.62,31,53,49.48
2026-02-13,Dining Room,Late Night,1021.54,1097.36,33.12,17.92,24.78,71.51,232.64,24,32,42.56
2026-02-14,Bar,Lunch,1779.96,1916.11,57.74,20.40,58.01,124.60,402.36,39,57,45.64
